,dt,o,h,l,c,v,e_dt,calculate_change_1,calculate_stdv_1_5,calculate_annualized_volatility_1,calculate_avg_volatility_1_5,calculate_change_2,calculate_stdv_2_10,calculate_annualized_volatility_2,calculate_avg_volatility_2_10
0,2024-01-01 09:15:00,1706.0,1709.15,1697.45,1698.2,978309,2024-01-01 10:14:00,,,,,,,,
1,2024-01-01 10:15:00,1698.15,1703.0,1697.55,1702.65,537799,2024-01-01 11:14:00,0.0026169943041950815,,,,0.0026169943041950815,,,
2,2024-01-01 11:15:00,1702.5,1703.6,1699.35,1703.15,475764,2024-01-01 12:14:00,0.00029361677349938083,,,,0.00029361677349938083,,,
3,2024-01-01 12:15:00,1703.15,1703.9,1700.2,1701.3,489040,2024-01-01 13:14:00,-0.0010868129548655338,,,,-0.0010868129548655338,,,
4,2024-01-01 13:15:00,1701.35,1703.6,1700.5,1702.65,1226328,2024-01-01 14:14:00,0.0007931961813660434,,,,0.0007931961813660434,,,
5,2024-01-01 14:15:00,1702.65,1706.65,1695.4,1697.05,2816394,2024-01-01 15:14:00,-0.003294411309704146,0.001975173901027598,0.031354913629345976,,-0.003294411309704146,,,
6,2024-01-01 15:15:00,1697.2,1697.9,1692.0,1692.9,594001,2024-01-01 15:29:00,-0.0024484149165498546,0.0015587433566034807,0.02474428367608128,,-0.0024484149165498546,,,
7,2024-01-02 09:15:00,1698.8,1702.75,1688.7,1692.35,3011201,2024-01-02 10:14:00,-0.00032493907678279117,0.0014608458564114618,0.0231902090391834,,-0.00032493907678279117,,,
8,2024-01-02 10:15:00,1692.55,1699.7,1690.7,1699.0,2598417,2024-01-02 11:14:00,0.003921747105510728,0.002553299901889509,0.040532379377791555,,0.003921747105510728,,,
9,2024-01-02 11:15:00,1698.75,1702.8,1695.1,1699.3,1359223,2024-01-02 12:14:00,0.0001765588681276516,0.002513522877086114,0.03990093868464857,0.03194454488141015,0.0001765588681276516,,,
10,2024-01-02 12:15:00,1699.45,1702.0,1696.4,1697.05,787914,2024-01-02 13:14:00,-0.0013249519803058413,0.002157178349178248,0.034244144673230996,0.03252239109018716,-0.0013249519803058413,0.002069288313098374,0.03284893360410395,
11,2024-01-02 13:15:00,1697.05,1698.8,1695.15,1697.85,951004,2024-01-02 14:14:00,0.0004712951867848226,0.0017770500433480691,0.02820979489209325,0.03321549333338956,0.0004712951867848226,0.0018826017132611633,0.029885375706439003,
12,2024-01-02 14:15:00,1697.85,1702.45,1694.7,1699.55,3934582,2024-01-02 15:14:00,0.0010007653746298586,0.0017196344194871972,0.02729835011946029,0.03403712154944493,0.0010007653746298586,0.0019158935054469687,0.030413866523378713,
13,2024-01-02 15:15:00,1699.55,1701.4,1696.0,1697.5,1978042,2024-01-02 15:29:00,-0.0012069296883174237,0.0009285440332176193,0.014740179559600315,0.028878681585806688,-0.0012069296883174237,0.0019217107142202787,0.03050621184981104,
14,2024-01-03 09:15:00,1702.0,1704.7,1691.0,1691.2,3583962,2024-01-03 10:14:00,-0.0037182443168780137,0.0016550037142815256,0.026272369481262683,0.026152967745129506,-0.0037182443168780137,0.002146462195313872,0.03407403100441354,
15,2024-01-03 10:15:00,1691.75,1692.65,1678.8,1683.2,2039172,2024-01-03 11:14:00,-0.004741592572582441,0.002260872811377383,0.03589024322911199,0.026482187456305706,-0.004741592572582441,0.0023566956139138132,0.03741138306175585,
16,2024-01-03 11:15:00,1683.4,1683.4,1672.0,1674.5,1964059,2024-01-03 12:14:00,-0.005182130309131496,0.002335233469977088,0.037070682089002764,0.02825436489568761,-0.005182130309131496,0.0026678111313201123,0.04235018879017738,
17,2024-01-03 12:15:00,1674.95,1676.6,1670.55,1674.75,1355375,2024-01-03 13:14:00,0.00014928715411763584,0.0020700616480111567,0.03286120991526027,0.029366936854847602,0.00014928715411763584,0.0026851980065127927,0.04262619687719548,
18,2024-01-03 13:15:00,1674.7,1677.4,1672.95,1676.6,1371138,2024-01-03 14:14:00,0.0011040328153799225,0.002596458146923017,0.04121749527807546,0.034662399998542634,0.0011040328153799225,0.00226398615341564,0.03593966600178906,
19,2024-01-03 14:15:00,1676.45,1677.3,1668.95,1672.65,2786743,2024-01-03 15:14:00,-0.0023587381242763427,0.0025224434548807495,0.04004254846702223,0.03741643579569454,-0.0023587381242763427,0.0022229796674280164,0.035288708217405616,0.035134456163646965
20,2024-01-03 15:15:00,1672.7,1675.0,1671.75,1673.2,1092778,2024-01-03 15:29:00,0.00032876548856276155,0.002309370608133994,0.03666012188522728,0.037570411526917605,0.00032876548856276155,0.002296162615304667,0.03645045149915893,0.03549460795315246
21,2024-01-04 09:15:00,1678.0,1686.7,1670.7,1686.1,5313014,2024-01-04 10:14:00,0.007680209215891547,0.003357579556470904,0.053299923081219364,0.04081625972536092,0.007680209215891547,0.003559445672133958,0.05650444832226961,0.03815651521473552
22,2024-01-04 10:15:00,1686.1,1689.0,1680.0,1687.95,1165399,2024-01-04 11:14:00,0.0010966050801809602,0.0033091246890319176,0.052530725906894414,0.04475016292368775,0.0010966050801809602,0.003564123187749758,0.05657870158070778,0.040772998720468426
23,2024-01-04 11:15:00,1687.95,1690.95,1682.05,1683.25,1394453,2024-01-04 12:14:00,-0.0027883264387254638,0.0037550148964829266,0.05960901351262063,0.04842846657059678,-0.0027883264387254638,0.0036184476081146536,0.05744107501912726,0.04346648503740005
24,2024-01-04 12:15:00,1683.4,1689.45,1682.0,1689.1,1469097,2024-01-04 13:14:00,0.003469394260909051,0.0034914756089289103,0.05542545701924223,0.05150504828104078,0.003469394260909051,0.003689109922981193,0.058562804492333295,0.045915362386192024
25,2024-01-04 13:15:00,1689.1,1689.2,1680.0,1681.5,1705070,2024-01-04 14:14:00,-0.004509590505975038,0.004368956528138367,0.06935503477383771,0.05804403085876286,-0.004509590505975038,0.0036606187504080417,0.0581105211491982,0.04798527619493626
26,2024-01-04 14:15:00,1681.55,1692.0,1681.0,1690.85,1601370,2024-01-04 15:14:00,0.005545108875404532,0.003755418312618009,0.05961541754523043,0.05930712975156508,0.005545108875404532,0.0035854657258791362,0.056917503870131274,0.049442007702931653
27,2024-01-04 15:15:00,1690.9,1694.95,1690.45,1691.85,717730,2024-01-04 15:29:00,0.0005912436983064607,0.0037464770969223957,0.05947348014633534,0.06069568059945326,0.0005912436983064607,0.003577771912163508,0.05679536836378001,0.050858924851590104
28,2024-01-05 09:15:00,1687.15,1704.9,1678.25,1684.0,4861824,2024-01-05 10:14:00,-0.004650688951763378,0.004124563591687414,0.06547541718165752,0.06186896133326064,-0.004650688951763378,0.003959734321761521,0.06285883363960802,0.053550841615372005
29,2024-01-05 10:15:00,1684.1,1684.45,1676.45,1679.05,1429092,2024-01-05 11:14:00,-0.0029437585374030226,0.003862801477612171,0.06132007244264784,0.06304788441794176,-0.0029437585374030226,0.004004723296714019,0.06357301147639215,0.05637927194127066
30,2024-01-05 11:15:00,1679.0,1679.65,1672.3,1672.45,1417507,2024-01-05 12:14:00,-0.003938540075578988,0.003770405487082649,0.059853331564164274,0.06114754377600708,-0.003938540075578988,0.004209755860518841,0.0668278025233774,0.0594170070436925
31,2024-01-05 12:15:00,1672.35,1674.0,1668.1,1668.5,2012741,2024-01-05 13:14:00,-0.0023645979978612476,0.0018075323521242934,0.028693686542547076,0.05496319757547041,-0.0023645979978612476,0.0033591015820629367,0.05332408448845293,0.059098970660310834
32,2024-01-05 13:15:00,1668.55,1674.4,1668.45,1673.35,1855513,2024-01-05 14:14:00,0.002902585935996902,0.002670020427975624,0.04238526028731448,0.051545553603666236,0.002902585935996902,0.0035145700438665344,0.05579206980832932,0.059020307483072985
33,2024-01-05 14:15:00,1673.0,1686.5,1671.65,1681.8,3534012,2024-01-05 15:14:00,0.005037043271371837,0.0035559571528815215,0.056449069795954765,0.04974028412652569,0.005037043271371837,0.003854756651152444,0.06119236478172918,0.05939543645933317
34,2024-01-05 15:15:00,1681.55,1681.8,1678.0,1679.0,815431,2024-01-05 15:29:00,-0.0016662703212566995,0.00339636603078796,0.05391563927287491,0.0482593974925711,-0.0016662703212566995,0.00368522130132187,0.05850107453721297,0.05938926346382114
35,2024-01-08 09:15:00,1678.5,1682.35,1674.15,1678.5,1979444,2024-01-08 10:14:00,-0.00029784065745115326,0.0028158675602059473,0.04470051173519481,0.04522883352677721,-0.00029784065745115326,0.0034473024725958494,0.05472423021904004,0.059050634370805336
36,2024-01-08 10:15:00,1678.5,1680.65,1672.0,1675.55,1548237,2024-01-08 11:14:00,-0.001759067849726155,0.0026907472870779823,0.04271428897518038,0.04803295401330387,-0.001759067849726155,0.0028851567658348264,0.045800443775006194,0.057938928361292816
37,2024-01-08 11:15:00,1675.2,1677.9,1669.0,1669.65,1078148,2024-01-08 12:14:00,-0.0035274459630189217,0.002925548729765202,0.04644164632415779,0.04884423122067253,-0.0035274459630189217,0.0029351414391193555,0.04659392586426027,0.056918784111340846
38,2024-01-08 12:15:00,1669.65,1672.6,1668.6,1669.15,815378,2024-01-08 13:14:00,-0.0002995088077979018,0.0011908956810175939,0.018904882856360744,0.041335393832753725,-0.0002995088077979018,0.0027242000076135122,0.04324533445047371,0.054957434192427414
39,2024-01-08 13:15:00,1669.0,1674.5,1667.3,1670.55,1017805,2024-01-08 14:14:00,0.0008383987076722005,0.001505136482322437,0.023893300928614403,0.03533092616390163,0.0008383987076722005,0.002674311130247548,0.042453373074282465,0.05284547035221645
40,2024-01-08 14:15:00,1670.55,1671.75,1660.0,1665.15,1776426,2024-01-08 15:14:00,-0.0032377040604529652,0.0016768689665980412,0.026619469601161756,0.03171471773709501,-0.0032377040604529652,0.0025913759951030307,0.04113681861903091,0.05027637196178179
41,2024-01-08 15:15:00,1665.1,1666.05,1661.15,1662.9,782730,2024-01-08 15:29:00,-0.0013521433528971855,0.0016769062180301843,0.026620060949314347,0.028495872131921805,-0.0013521433528971855,0.0025332298530141907,0.040213777229041535,0.04896534123584066
42,2024-01-09 09:15:00,1667.15,1668.65,1660.35,1666.3,2061405,2024-01-09 10:14:00,0.002042533450709009,0.0018148733621339917,0.02881022146369326,0.024969587159828905,0.002042533450709009,0.0024344858268698275,0.03864626440925406,0.04725076069593313
43,2024-01-09 10:15:00,1666.25,1677.8,1666.25,1675.05,907183,2024-01-09 11:14:00,0.005237416015332946,0.0029026311344928935,0.04607784077772884,0.030404178744102523,0.005237416015332946,0.0024797401891604094,0.039364655139424255,0.04506798973170264
44,2024-01-09 11:15:00,1674.95,1676.0,1671.0,1674.0,1051962,2024-01-09 12:14:00,-0.0006270435104901352,0.0029480647923384082,0.04679907773659622,0.03498533410569889,-0.0006270435104901352,0.0024461340792226497,0.038831174682858606,0.0431009997462672
45,2024-01-09 12:15:00,1673.95,1674.15,1669.0,1671.6,1003684,2024-01-09 13:14:00,-0.0014347204756604054,0.0025648824972502563,0.040716247378958924,0.03780468966125832,-0.0014347204756604054,0.0024697784537215566,0.03920651749183732,0.04154922847354693
46,2024-01-09 13:15:00,1671.6,1672.9,1665.85,1667.45,1366699,2024-01-09 14:14:00,-0.0024857382410370223,0.002783512774987302,0.044186895442726144,0.04131805655994068,-0.0024857382410370223,0.0025185542164176365,0.039980808720445286,0.04096726496809085
47,2024-01-09 14:15:00,1667.35,1667.45,1646.75,1651.8,5313691,2024-01-09 15:14:00,-0.009429910956106683,0.004684159221650209,0.07435872241149799,0.05042775674950162,-0.009429910956106683,0.003615341924615551,0.05739177382199025,0.04204704976386384
48,2024-01-09 15:15:00,1651.9,1652.35,1648.35,1650.95,957917,2024-01-09 15:29:00,-0.000514722591032576,0.0033410854863590764,0.05303808783548041,0.05181980616105194,-0.000514722591032576,0.0036113007734329904,0.05732762253575343,0.04345527857239181
49,2024-01-10 09:15:00,1643.0,1656.0,1641.4,1652.65,2145053,2024-01-10 10:14:00,0.0010291803790139235,0.0036202917811031087,0.05747035035773947,0.053954060685280594,0.0010291803790139235,0.0036219597592915755,0.057496828690613254,0.04495962413402489
50,2024-01-10 10:15:00,1652.7,1655.75,1649.05,1652.5,918928,2024-01-10 11:14:00,-9.076743875652152e-05,0.0037422314716438225,0.059406082934452896,0.057692027796379386,-9.076743875652152e-05,0.003556703705045644,0.0564609209441568,0.046492034366537476
51,2024-01-10 11:15:00,1652.45,1655.5,1651.15,1653.5,735006,2024-01-10 12:14:00,0.0006049606960061281,0.003911658338658951,0.06209565106766195,0.06127377892136654,0.0006049606960061281,0.0035726882752933134,0.05671466813029425,0.04814212345666275
52,2024-01-10 12:15:00,1653.5,1656.8,1650.2,1656.6,1003507,2024-01-10 13:14:00,0.0018730557423161872,0.0008393718040965437,0.013324614306954488,0.04906695730045784,0.0018730557423161872,0.00356065148947752,0.056523590079175415,0.049929856023654885
53,2024-01-10 13:15:00,1656.6,1659.95,1653.8,1658.1,755476,2024-01-10 14:14:00,0.0009050593431632118,0.0006365289778538497,0.01010458426612456,0.040480256586586674,0.0009050593431632118,0.0030534464708251584,0.048471960020707264,0.05084058651178319
54,2024-01-10 14:15:00,1658.15,1659.9,1653.75,1653.9,1836382,2024-01-10 15:14:00,-0.002536233243579305,0.001484576407925662,0.023566919865869285,0.033699570488212635,-0.002536233243579305,0.0030826386339256255,0.048935371243482496,0.05185100616784558
55,2024-01-10 15:15:00,1653.9,1658.55,1653.1,1656.0,661045,2024-01-10 15:29:00,0.0012689206814573025,0.0015388824278525961,0.0244290012063916,0.026704154142600377,0.0012689206814573025,0.0031682690472340774,0.050294711913149534,0.05295982560997679
56,2024-01-11 09:15:00,1660.0,1662.9,1651.0,1654.7,2496258,2024-01-11 10:14:00,-0.0007853324474064402,0.0016050915660402003,0.025480038691377462,0.01938103166734348,-0.0007853324474064402,0.0031259665624269154,0.0496231807853105,0.053924062816463315
57,2024-01-11 10:15:00,1654.9,1655.6,1648.1,1653.6,1225377,2024-01-11 11:14:00,-0.0006649941302401853,0.001361149978415663,0.021607586039692678,0.02103762601389112,-0.0006649941302401853,0.001225104944321839,0.019447938075787305,0.05012967924184303
58,2024-01-11 11:15:00,1653.75,1657.95,1652.5,1656.2,1297860,2024-01-11 12:14:00,0.0015710922320413677,0.0015037965186239222,0.023872029664341658,0.023791115093534536,0.0015710922320413677,0.0012776074087872558,0.0202813888609483,0.04642505587436251
59,2024-01-11 12:15:00,1656.15,1658.75,1654.05,1656.8,885634,2024-01-11 13:14:00,0.0003622094817747078,0.0009648650331666094,0.01531675755900562,0.022141082632161805,0.0003622094817747078,0.0012559388562473884,0.01993741125320094,0.04266911413062128
60,2024-01-11 13:15:00,1656.8,1658.1,1643.0,1645.65,1098257,2024-01-11 14:14:00,-0.006752588149764677,0.002877301791914271,0.04567574992971408,0.0263904323768263,-0.006752588149764677,0.0024549251943666163,0.03897072930936582,0.04092009496714218
61,2024-01-11 14:15:00,1645.45,1651.5,1644.0,1648.45,1565808,2024-01-11 15:14:00,0.0017000095166150064,0.0031197782390778245,0.049524944197625605,0.03119941347807593,0.0017000095166150064,0.0025215164580844863,0.040027832849087834,0.03925141143902154
62,2024-01-11 15:15:00,1648.45,1650.7,1648.05,1649.3,585282,2024-01-11 15:29:00,0.0005155030058818805,0.0031621771366509856,0.05019800583067691,0.036917497436272775,0.0005155030058818805,0.0024356326970532524,0.03866447040900257,0.03746549947200426
63,2024-01-12 09:15:00,1652.0,1656.0,1645.0,1655.8,1518886,2024-01-12 10:14:00,0.0039333202505988756,0.00358730420914056,0.056946688887126964,0.04353242928082983,0.0039333202505988756,0.0027519571213054494,0.04368596497012458,0.036986899966945985
64,2024-01-12 10:15:00,1655.65,1655.95,1648.05,1649.3,759767,2024-01-12 11:14:00,-0.003933320250598963,0.0038878844572345687,0.061718252399976026,0.05281272824902392,-0.003933320250598963,0.0029015197157461906,0.04606019755209145,0.03669938259780688
65,2024-01-12 11:15:00,1649.25,1650.0,1643.4,1645.0,1288980,2024-01-12 12:14:00,-0.0026105712546342923,0.002859428617341347,0.04539202207935887,0.05275598267895287,-0.0026105712546342923,0.0029279178078917755,0.04647925427351417,0.03631783683384335
66,2024-01-12 12:15:00,1645.0,1646.0,1638.3,1641.75,1575259,2024-01-12 13:14:00,-0.001977638128390309,0.0027790828390718563,0.04411657239018881,0.051674308317465514,-0.001977638128390309,0.002954486553211149,0.0469010200300866,0.036045620758320955
67,2024-01-12 13:15:00,1641.8,1647.85,1640.75,1646.35,1358054,2024-01-12 14:14:00,0.002797970256973568,0.0031258853965924283,0.04962189231763245,0.05155908561485663,0.002797970256973568,0.0031451359694927516,0.049927485688571104,0.03909357551959934
68,2024-01-12 14:15:00,1646.4,1647.8,1633.6,1641.05,2308854,2024-01-12 15:14:00,-0.0032244354760603616,0.002383671217157142,0.037839607487642625,0.04773766933495976,-0.0032244354760603616,0.0031675451874852646,0.05028322099587284,0.04209375873309179
69,2024-01-12 15:15:00,1641.05,1645.0,1640.6,1644.0,1072485,2024-01-12 15:29:00,0.0017960157641301311,0.0024537920132933983,0.03895274061750498,0.043184566978465545,0.0017960157641301311,0.0032535753605775013,0.051648907655372236,0.04526490837330892
70,2024-01-15 09:15:00,1647.7,1667.9,1643.6,1665.0,3870973,2024-01-15 10:14:00,0.012692826798418879,0.005608244193068872,0.08902811655949407,0.05191178587449259,0.012692826798418879,0.004622966692656609,0.07338732112862495,0.04870656755523483
71,2024-01-15 10:15:00,1665.25,1673.0,1663.1,1670.9,1673447,2024-01-15 11:14:00,0.003537279985553552,0.0051598819469885525,0.08191058655710086,0.05947058870787499,0.003537279985553552,0.004676617907501233,0.07423900776071718,0.052127685046397775
72,2024-01-15 11:15:00,1670.85,1671.0,1663.5,1667.65,1131728,2024-01-15 12:14:00,-0.0019469536335405394,0.0056211147060224445,0.08923242961862,0.0673926961680725,-0.0019469536335405394,0.004777949062056943,0.07584758997082193,0.05584599700257971
73,2024-01-15 12:15:00,1667.65,1673.0,1667.4,1671.85,1541263,2024-01-15 13:14:00,0.002515347934984754,0.004854117154899235,0.07705672095981463,0.07523611886250692,0.002515347934984754,0.004712543943687414,0.07480931590476284,0.05895833209604353
74,2024-01-15 13:15:00,1671.8,1672.65,1666.55,1668.75,1327428,2024-01-15 14:14:00,-0.0018559545529823797,0.005339034246827612,0.08475454115017741,0.0843964789690414,-0.0018559545529823797,0.004534477342728086,0.07198259624709309,0.0615505719655437
75,2024-01-15 14:15:00,1669.3,1670.5,1664.3,1669.5,2552988,2024-01-15 15:14:00,0.00044933723514966017,0.002227978587439963,0.0353680636124587,0.07366446837963432,0.00044933723514966017,0.004369102432972033,0.06935735094126749,0.06383838163231903
76,2024-01-15 15:15:00,1669.0,1680.9,1668.8,1679.7,2051753,2024-01-15 15:29:00,0.006091025639248143,0.003011520585944943,0.04780640723137102,0.06684363251448835,0.006091025639248143,0.004401280175649302,0.0698681567705204,0.0661350953063624
77,2024-01-16 09:15:00,1673.0,1680.0,1658.1,1670.25,2752170,2024-01-16 10:14:00,-0.005641890217370569,0.003960292305660977,0.06286769135940924,0.0615706848626462,-0.005641890217370569,0.004991654532585582,0.07924005914381886,0.06906635265188718
