,dt,o,h,l,c,v,e_dt
0,2024-01-01 09:15:00,1706.0,1709.15,1697.45,1698.2,978309,2024-01-01 10:14:00
1,2024-01-01 10:15:00,1698.15,1703.0,1697.55,1702.65,537799,2024-01-01 11:14:00
2,2024-01-01 11:15:00,1702.5,1703.6,1699.35,1703.15,475764,2024-01-01 12:14:00
3,2024-01-01 12:15:00,1703.15,1703.9,1700.2,1701.3,489040,2024-01-01 13:14:00
4,2024-01-01 13:15:00,1701.35,1703.6,1700.5,1702.65,1226328,2024-01-01 14:14:00
5,2024-01-01 14:15:00,1702.65,1706.65,1695.4,1697.05,2816394,2024-01-01 15:14:00
6,2024-01-01 15:15:00,1697.2,1697.9,1692.0,1692.9,594001,2024-01-01 15:29:00
7,2024-01-02 09:15:00,1698.8,1702.75,1688.7,1692.35,3011201,2024-01-02 10:14:00
8,2024-01-02 10:15:00,1692.55,1699.7,1690.7,1699.0,2598417,2024-01-02 11:14:00
9,2024-01-02 11:15:00,1698.75,1702.8,1695.1,1699.3,1359223,2024-01-02 12:14:00
10,2024-01-02 12:15:00,1699.45,1702.0,1696.4,1697.05,787914,2024-01-02 13:14:00
11,2024-01-02 13:15:00,1697.05,1698.8,1695.15,1697.85,951004,2024-01-02 14:14:00
12,2024-01-02 14:15:00,1697.85,1702.45,1694.7,1699.55,3934582,2024-01-02 15:14:00
13,2024-01-02 15:15:00,1699.55,1701.4,1696.0,1697.5,1978042,2024-01-02 15:29:00
14,2024-01-03 09:15:00,1702.0,1704.7,1691.0,1691.2,3583962,2024-01-03 10:14:00
15,2024-01-03 10:15:00,1691.75,1692.65,1678.8,1683.2,2039172,2024-01-03 11:14:00
16,2024-01-03 11:15:00,1683.4,1683.4,1672.0,1674.5,1964059,2024-01-03 12:14:00
17,2024-01-03 12:15:00,1674.95,1676.6,1670.55,1674.75,1355375,2024-01-03 13:14:00
18,2024-01-03 13:15:00,1674.7,1677.4,1672.95,1676.6,1371138,2024-01-03 14:14:00
19,2024-01-03 14:15:00,1676.45,1677.3,1668.95,1672.65,2786743,2024-01-03 15:14:00
20,2024-01-03 15:15:00,1672.7,1675.0,1671.75,1673.2,1092778,2024-01-03 15:29:00
21,2024-01-04 09:15:00,1678.0,1686.7,1670.7,1686.1,5313014,2024-01-04 10:14:00
22,2024-01-04 10:15:00,1686.1,1689.0,1680.0,1687.95,1165399,2024-01-04 11:14:00
23,2024-01-04 11:15:00,1687.95,1690.95,1682.05,1683.25,1394453,2024-01-04 12:14:00
24,2024-01-04 12:15:00,1683.4,1689.45,1682.0,1689.1,1469097,2024-01-04 13:14:00
25,2024-01-04 13:15:00,1689.1,1689.2,1680.0,1681.5,1705070,2024-01-04 14:14:00
26,2024-01-04 14:15:00,1681.55,1692.0,1681.0,1690.85,1601370,2024-01-04 15:14:00
27,2024-01-04 15:15:00,1690.9,1694.95,1690.45,1691.85,717730,2024-01-04 15:29:00
28,2024-01-05 09:15:00,1687.15,1704.9,1678.25,1684.0,4861824,2024-01-05 10:14:00
29,2024-01-05 10:15:00,1684.1,1684.45,1676.45,1679.05,1429092,2024-01-05 11:14:00
30,2024-01-05 11:15:00,1679.0,1679.65,1672.3,1672.45,1417507,2024-01-05 12:14:00
31,2024-01-05 12:15:00,1672.35,1674.0,1668.1,1668.5,2012741,2024-01-05 13:14:00
32,2024-01-05 13:15:00,1668.55,1674.4,1668.45,1673.35,1855513,2024-01-05 14:14:00
33,2024-01-05 14:15:00,1673.0,1686.5,1671.65,1681.8,3534012,2024-01-05 15:14:00
34,2024-01-05 15:15:00,1681.55,1681.8,1678.0,1679.0,815431,2024-01-05 15:29:00
35,2024-01-08 09:15:00,1678.5,1682.35,1674.15,1678.5,1979444,2024-01-08 10:14:00
36,2024-01-08 10:15:00,1678.5,1680.65,1672.0,1675.55,1548237,2024-01-08 11:14:00
37,2024-01-08 11:15:00,1675.2,1677.9,1669.0,1669.65,1078148,2024-01-08 12:14:00
38,2024-01-08 12:15:00,1669.65,1672.6,1668.6,1669.15,815378,2024-01-08 13:14:00
39,2024-01-08 13:15:00,1669.0,1674.5,1667.3,1670.55,1017805,2024-01-08 14:14:00
40,2024-01-08 14:15:00,1670.55,1671.75,1660.0,1665.15,1776426,2024-01-08 15:14:00
41,2024-01-08 15:15:00,1665.1,1666.05,1661.15,1662.9,782730,2024-01-08 15:29:00
42,2024-01-09 09:15:00,1667.15,1668.65,1660.35,1666.3,2061405,2024-01-09 10:14:00
43,2024-01-09 10:15:00,1666.25,1677.8,1666.25,1675.05,907183,2024-01-09 11:14:00
44,2024-01-09 11:15:00,1674.95,1676.0,1671.0,1674.0,1051962,2024-01-09 12:14:00
45,2024-01-09 12:15:00,1673.95,1674.15,1669.0,1671.6,1003684,2024-01-09 13:14:00
46,2024-01-09 13:15:00,1671.6,1672.9,1665.85,1667.45,1366699,2024-01-09 14:14:00
47,2024-01-09 14:15:00,1667.35,1667.45,1646.75,1651.8,5313691,2024-01-09 15:14:00
48,2024-01-09 15:15:00,1651.9,1652.35,1648.35,1650.95,957917,2024-01-09 15:29:00
49,2024-01-10 09:15:00,1643.0,1656.0,1641.4,1652.65,2145053,2024-01-10 10:14:00
50,2024-01-10 10:15:00,1652.7,1655.75,1649.05,1652.5,918928,2024-01-10 11:14:00
51,2024-01-10 11:15:00,1652.45,1655.5,1651.15,1653.5,735006,2024-01-10 12:14:00
52,2024-01-10 12:15:00,1653.5,1656.8,1650.2,1656.6,1003507,2024-01-10 13:14:00
53,2024-01-10 13:15:00,1656.6,1659.95,1653.8,1658.1,755476,2024-01-10 14:14:00
54,2024-01-10 14:15:00,1658.15,1659.9,1653.75,1653.9,1836382,2024-01-10 15:14:00
55,2024-01-10 15:15:00,1653.9,1658.55,1653.1,1656.0,661045,2024-01-10 15:29:00
56,2024-01-11 09:15:00,1660.0,1662.9,1651.0,1654.7,2496258,2024-01-11 10:14:00
57,2024-01-11 10:15:00,1654.9,1655.6,1648.1,1653.6,1225377,2024-01-11 11:14:00
58,2024-01-11 11:15:00,1653.75,1657.95,1652.5,1656.2,1297860,2024-01-11 12:14:00
59,2024-01-11 12:15:00,1656.15,1658.75,1654.05,1656.8,885634,2024-01-11 13:14:00
60,2024-01-11 13:15:00,1656.8,1658.1,1643.0,1645.65,1098257,2024-01-11 14:14:00
61,2024-01-11 14:15:00,1645.45,1651.5,1644.0,1648.45,1565808,2024-01-11 15:14:00
62,2024-01-11 15:15:00,1648.45,1650.7,1648.05,1649.3,585282,2024-01-11 15:29:00
63,2024-01-12 09:15:00,1652.0,1656.0,1645.0,1655.8,1518886,2024-01-12 10:14:00
64,2024-01-12 10:15:00,1655.65,1655.95,1648.05,1649.3,759767,2024-01-12 11:14:00
65,2024-01-12 11:15:00,1649.25,1650.0,1643.4,1645.0,1288980,2024-01-12 12:14:00
66,2024-01-12 12:15:00,1645.0,1646.0,1638.3,1641.75,1575259,2024-01-12 13:14:00
67,2024-01-12 13:15:00,1641.8,1647.85,1640.75,1646.35,1358054,2024-01-12 14:14:00
68,2024-01-12 14:15:00,1646.4,1647.8,1633.6,1641.05,2308854,2024-01-12 15:14:00
69,2024-01-12 15:15:00,1641.05,1645.0,1640.6,1644.0,1072485,2024-01-12 15:29:00
70,2024-01-15 09:15:00,1647.7,1667.9,1643.6,1665.0,3870973,2024-01-15 10:14:00
71,2024-01-15 10:15:00,1665.25,1673.0,1663.1,1670.9,1673447,2024-01-15 11:14:00
72,2024-01-15 11:15:00,1670.85,1671.0,1663.5,1667.65,1131728,2024-01-15 12:14:00
73,2024-01-15 12:15:00,1667.65,1673.0,1667.4,1671.85,1541263,2024-01-15 13:14:00
74,2024-01-15 13:15:00,1671.8,1672.65,1666.55,1668.75,1327428,2024-01-15 14:14:00
75,2024-01-15 14:15:00,1669.3,1670.5,1664.3,1669.5,2552988,2024-01-15 15:14:00
76,2024-01-15 15:15:00,1669.0,1680.9,1668.8,1679.7,2051753,2024-01-15 15:29:00
77,2024-01-16 09:15:00,1673.0,1680.0,1658.1,1670.25,2752170,2024-01-16 10:14:00
78,2024-01-16 10:15:00,1670.25,1673.7,1667.6,1670.3,2015347,2024-01-16 11:14:00
79,2024-01-16 11:15:00,1670.35,1675.6,1669.45,1671.65,1481899,2024-01-16 12:14:00
80,2024-01-16 12:15:00,1671.65,1675.0,1668.95,1674.35,1422849,2024-01-16 13:14:00
81,2024-01-16 13:15:00,1674.3,1675.0,1669.35,1671.9,1744890,2024-01-16 14:14:00
82,2024-01-16 14:15:00,1671.95,1683.65,1670.5,1679.35,2541036,2024-01-16 15:14:00
83,2024-01-16 15:15:00,1679.35,1680.0,1677.0,1678.8,698300,2024-01-16 15:29:00
84,2024-01-17 09:15:00,1570.0,1596.8,1560.0,1581.25,30897775,2024-01-17 10:14:00
85,2024-01-17 10:15:00,1581.2,1581.75,1570.2,1571.1,9874019,2024-01-17 11:14:00
86,2024-01-17 11:15:00,1571.0,1571.35,1553.0,1565.25,8456484,2024-01-17 12:14:00
87,2024-01-17 12:15:00,1564.9,1568.0,1555.55,1557.1,6765045,2024-01-17 13:14:00
88,2024-01-17 13:15:00,1557.05,1562.9,1548.3,1551.35,8388993,2024-01-17 14:14:00
89,2024-01-17 14:15:00,1551.6,1552.0,1528.4,1542.4,15114339,2024-01-17 15:14:00
90,2024-01-17 15:15:00,1542.35,1543.25,1533.75,1542.5,5564428,2024-01-17 15:29:00
91,2024-01-18 09:15:00,1494.0,1515.0,1480.25,1505.95,27616095,2024-01-18 10:14:00
92,2024-01-18 10:15:00,1505.95,1509.9,1500.55,1504.95,7575318,2024-01-18 11:14:00
93,2024-01-18 11:15:00,1504.95,1513.75,1499.6,1513.15,6892862,2024-01-18 12:14:00
94,2024-01-18 12:15:00,1513.35,1513.45,1494.1,1496.25,7694159,2024-01-18 13:14:00
95,2024-01-18 13:15:00,1496.15,1496.95,1480.55,1484.35,9657604,2024-01-18 14:14:00
96,2024-01-18 14:15:00,1484.25,1488.3,1480.05,1485.15,15389722,2024-01-18 15:14:00
97,2024-01-18 15:15:00,1485.2,1491.0,1484.55,1490.85,5706082,2024-01-18 15:29:00
98,2024-01-19 09:15:00,1505.95,1510.25,1488.65,1489.8,17109129,2024-01-19 10:14:00
99,2024-01-19 10:15:00,1489.8,1497.25,1482.6,1484.1,6815323,2024-01-19 11:14:00
100,2024-01-19 11:15:00,1484.15,1488.0,1482.55,1483.65,4081458,2024-01-19 12:14:00
101,2024-01-19 12:15:00,1483.65,1485.75,1480.0,1480.95,5684335,2024-01-19 13:14:00
102,2024-01-19 13:15:00,1480.85,1481.95,1470.05,1470.2,6964737,2024-01-19 14:14:00
103,2024-01-19 14:15:00,1470.2,1474.8,1468.4,1470.05,10383640,2024-01-19 15:14:00
104,2024-01-19 15:15:00,1469.95,1474.9,1469.0,1474.9,3693271,2024-01-19 15:29:00
105,2024-01-20 09:15:00,1483.2,1495.7,1477.0,1483.8,4418302,2024-01-20 10:14:00
106,2024-01-20 10:15:00,1482.95,1490.25,1481.75,1489.0,1301625,2024-01-20 11:14:00
107,2024-01-20 11:15:00,1488.7,1489.4,1479.05,1485.8,1562181,2024-01-20 12:14:00
108,2024-01-20 12:15:00,1485.9,1485.9,1476.0,1483.4,2081373,2024-01-20 13:14:00
109,2024-01-20 13:15:00,1483.25,1486.0,1481.15,1482.05,1056919,2024-01-20 14:14:00
110,2024-01-20 14:15:00,1482.3,1483.5,1476.0,1479.6,1922450,2024-01-20 15:14:00
111,2024-01-20 15:15:00,1479.6,1481.0,1477.1,1481.0,575257,2024-01-20 15:29:00
112,2024-01-23 09:15:00,1465.0,1474.7,1445.1,1447.35,19250488,2024-01-23 10:14:00
113,2024-01-23 10:15:00,1447.05,1449.35,1440.0,1443.55,6228533,2024-01-23 11:14:00
114,2024-01-23 11:15:00,1443.5,1445.45,1425.0,1427.1,7529767,2024-01-23 12:14:00
115,2024-01-23 12:15:00,1427.1,1436.35,1427.0,1433.6,5599475,2024-01-23 13:14:00
116,2024-01-23 13:15:00,1434.0,1440.5,1430.8,1438.05,6974373,2024-01-23 14:14:00
117,2024-01-23 14:15:00,1438.05,1438.6,1425.1,1425.65,8817517,2024-01-23 15:14:00
118,2024-01-23 15:15:00,1425.7,1431.1,1425.2,1430.85,3326672,2024-01-23 15:29:00
119,2024-01-24 09:15:00,1380.25,1443.8,1380.25,1441.35,17025600,2024-01-24 10:14:00
120,2024-01-24 10:15:00,1441.4,1452.0,1439.0,1441.25,6234113,2024-01-24 11:14:00
121,2024-01-24 11:15:00,1441.2,1450.8,1432.25,1438.35,3967591,2024-01-24 12:14:00
122,2024-01-24 12:15:00,1438.35,1450.9,1438.15,1447.2,3463162,2024-01-24 13:14:00
123,2024-01-24 13:15:00,1447.4,1451.0,1443.0,1444.35,2839015,2024-01-24 14:14:00
124,2024-01-24 14:15:00,1444.3,1458.45,1443.0,1455.95,7507538,2024-01-24 15:14:00
125,2024-01-24 15:15:00,1456.0,1458.25,1454.1,1456.5,1957238,2024-01-24 15:29:00
126,2024-01-25 09:15:00,1452.5,1457.35,1436.9,1439.0,10500856,2024-01-25 10:14:00
127,2024-01-25 10:15:00,1439.05,1439.5,1431.0,1433.85,4412540,2024-01-25 11:14:00
128,2024-01-25 11:15:00,1433.9,1435.8,1425.2,1427.2,4757227,2024-01-25 12:14:00
129,2024-01-25 12:15:00,1427.3,1428.8,1424.2,1426.25,4790805,2024-01-25 13:14:00
130,2024-01-25 13:15:00,1426.25,1429.9,1419.4,1428.0,6094739,2024-01-25 14:14:00
131,2024-01-25 14:15:00,1428.0,1436.6,1424.4,1435.75,12158105,2024-01-25 15:14:00
132,2024-01-25 15:15:00,1435.95,1443.3,1435.15,1441.0,6752538,2024-01-25 15:29:00
133,2024-01-29 09:15:00,1448.05,1462.8,1446.0,1451.95,9770725,2024-01-29 10:14:00
134,2024-01-29 10:15:00,1451.9,1456.05,1451.0,1452.95,4785652,2024-01-29 11:14:00
135,2024-01-29 11:15:00,1452.95,1455.0,1445.8,1454.2,3217207,2024-01-29 12:14:00
136,2024-01-29 12:15:00,1454.8,1460.45,1452.6,1460.0,3892323,2024-01-29 13:14:00
137,2024-01-29 13:15:00,1460.1,1460.55,1450.25,1451.5,3430058,2024-01-29 14:14:00
138,2024-01-29 14:15:00,1451.5,1456.4,1448.45,1455.9,5801150,2024-01-29 15:14:00
139,2024-01-29 15:15:00,1455.75,1458.25,1455.0,1456.75,1917306,2024-01-29 15:29:00
140,2024-01-30 09:15:00,1454.55,1463.2,1445.65,1450.05,6889635,2024-01-30 10:14:00
141,2024-01-30 10:15:00,1449.4,1450.75,1443.1,1444.5,1926481,2024-01-30 11:14:00
142,2024-01-30 11:15:00,1444.5,1448.3,1443.4,1445.6,1585621,2024-01-30 12:14:00
143,2024-01-30 12:15:00,1445.6,1446.0,1441.2,1444.75,1890233,2024-01-30 13:14:00
144,2024-01-30 13:15:00,1444.7,1445.45,1440.9,1444.0,1906310,2024-01-30 14:14:00
145,2024-01-30 14:15:00,1445.1,1446.6,1441.35,1445.25,5363774,2024-01-30 15:14:00
146,2024-01-30 15:15:00,1445.2,1446.95,1444.0,1444.7,1298714,2024-01-30 15:29:00
147,2024-01-31 09:15:00,1439.5,1466.65,1436.8,1466.2,9384652,2024-01-31 10:14:00
148,2024-01-31 10:15:00,1466.25,1472.6,1462.35,1469.9,4684697,2024-01-31 11:14:00
149,2024-01-31 11:15:00,1469.5,1474.95,1467.0,1468.0,2914595,2024-01-31 12:14:00
150,2024-01-31 12:15:00,1468.05,1471.95,1464.6,1470.05,3153353,2024-01-31 13:14:00
151,2024-01-31 13:15:00,1470.05,1472.75,1468.2,1471.35,3056441,2024-01-31 14:14:00
152,2024-01-31 14:15:00,1471.35,1472.8,1461.8,1461.95,6474161,2024-01-31 15:14:00
153,2024-01-31 15:15:00,1461.95,1462.6,1459.45,1462.45,3208838,2024-01-31 15:29:00
